,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0,0.00145,3.5,3.36,8.37,9.67
1,0.0115,3.56,3.05,8.26,9.5
2,0.0215,3.69,2.78,8.4,9.59
3,0.0315,3.73,2.6,8.55,9.68
4,0.0415,3.65,2.52,8.55,9.63
5,0.0516,3.54,2.49,8.45,9.49
6,0.0616,3.47,2.47,8.35,9.38
7,0.0716,3.51,2.45,8.45,9.47
8,0.0816,3.48,2.46,8.71,9.7
9,0.0916,3.35,2.4,8.91,9.81
10,0.102,3.13,2.28,9.07,9.86
11,0.112,2.99,2.26,9.26,9.99
12,0.122,2.9,2.39,9.5,10.2
13,0.132,2.86,2.69,9.85,10.6
14,0.142,2.97,3.09,10.3,11.2
15,0.152,3.11,3.34,10.8,11.7
16,0.162,3.04,3.22,10.6,11.4
17,0.172,2.64,2.63,9.97,10.6
18,0.182,2.11,1.79,9.6,10.0
19,0.192,1.86,1.13,9.35,9.6
20,0.202,1.76,0.661,9.13,9.32
21,0.212,1.69,0.3,9.35,9.5
22,0.222,1.65,0.142,9.55,9.69
23,0.232,1.73,0.277,9.81,9.97
24,0.242,1.85,0.57,10.3,10.5
25,0.252,1.93,0.773,10.6,10.8
26,0.262,1.97,0.757,10.7,10.9
27,0.272,1.92,0.645,10.8,11.0
28,0.282,1.75,0.375,10.7,10.9
29,0.292,1.49,0.0157,10.5,10.6
30,0.302,1.12,-0.331,10.4,10.4
31,0.312,0.849,-0.611,10.2,10.2
32,0.322,0.766,-0.894,10.0,10.1
33,0.332,0.766,-1.21,10.0,10.1
34,0.342,0.849,-1.5,9.83,9.98
35,0.352,0.815,-1.69,9.63,9.81
36,0.362,0.723,-1.77,9.69,9.88
37,0.372,0.737,-1.73,9.69,9.87
38,0.382,0.691,-1.48,10.1,10.2
39,0.392,0.569,-1.17,10.6,10.7
40,0.402,0.401,-0.916,10.8,10.8
41,0.412,0.37,-0.758,10.6,10.6
42,0.422,0.543,-0.613,10.4,10.4
43,0.432,0.676,-0.627,10.3,10.3
