Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.032075167,-4.57149353,7.46168335,5.461392975,10.31513862
0.042053167,-4.47210022,7.41019043,5.546865234,10.27999594
0.052031167,-4.210743713,7.406448212,5.694009247,10.24732058
0.062009167,-3.789369965,7.32127533,5.991590424,10.19115072
0.071987167,-3.480562134,7.111561432,6.166875916,10.03588448
0.081965167,-3.272494812,6.924899597,6.433770905,10.00284283
0.091943167,-3.108585663,6.864125977,6.793921967,10.14578267
0.101921167,-3.237168274,6.772067413,6.882088623,10.18348169
0.111898167,-3.261118469,6.518045654,6.31611557,9.644331429
0.121876167,-2.830613708,6.567592621,7.047494659,10.04055914
0.131854167,-2.740201721,6.526278534,7.414980469,10.25099763
0.141832167,-2.653981018,6.529571686,7.341333618,10.17713619
0.151810167,-2.705923004,6.516698456,7.436685333,10.25152022
0.161788167,-2.746039581,6.320606232,7.650440826,10.29660339
0.171766167,-2.465971985,6.188431091,7.853418732,10.2982466
0.181744167,-1.916464691,6.171815643,8.077652435,10.34469014
0.191721167,-1.343007202,6.182892609,8.253985748,10.40000529
0.201699167,-0.922830963,6.324198761,8.211773529,10.40578356
0.211677167,-0.624501343,6.553072815,8.045169983,10.39507216
0.221655167,-0.53244278,6.904541931,7.72019577,10.37099886
0.231633167,-0.458496552,7.2884935,7.413184204,10.40613553
0.241611167,-0.272283783,7.027885437,7.706723785,10.43354703
0.251589167,-0.484542389,6.455924835,7.834707642,10.16348319
0.261567167,-0.552501068,5.98964447,8.007298737,10.01488549
0.271545167,-0.318537598,5.66437088,8.0595401,9.856102186
0.281522167,-0.048798523,5.300627289,8.124055939,9.700480186
0.291500167,0.279019775,4.813240814,8.230185242,9.538400719
0.301478167,0.466579742,4.196822662,8.267308044,9.283286025
0.311456167,0.373173981,3.677702179,8.267906799,9.056656943
0.321434167,0.033230896,3.326382751,8.238717499,8.884953153
0.331412167,-0.444126434,3.128344574,8.079598389,8.675465301
0.341390167,-0.904269562,3.108735352,7.994275818,8.624986074
0.351368167,-1.134790192,3.14406189,7.969726868,8.642304108
0.361345167,-1.114282837,3.317401428,7.82557663,8.572422532
0.371323167,-0.981808319,3.628304901,7.423662415,8.321016024
0.381301167,-0.758921814,4.055217133,6.945257263,8.078201951
0.391279167,-0.11346405,4.579576721,6.719376984,8.13236891
0.401257167,0.947230225,5.191354523,6.877897339,8.669075999
0.411235167,1.542093201,5.569767609,7.202871552,9.234810298
0.421213167,0.767454071,5.782924347,7.523055725,9.519851217
0.431190167,-0.223036194,6.027665405,8.394543457,10.33686873
0.441168167,-0.672551422,5.942193146,8.850345612,10.68132025
0.451146167,-0.803529053,5.799240417,8.73463623,10.51526122
0.461124167,-0.879720612,5.729186096,8.10983551,9.968295425
0.471102167,-0.298628998,5.554948425,7.768694916,9.555064206
0.481080167,-0.311053162,5.311105499,7.404951324,9.117998674
0.491058167,-0.846489716,5.09226059,6.96905777,8.672682915
0.501036167,-1.086590424,4.816983032,6.900200958,8.485091487
0.511014167,-0.622106323,4.257596283,6.931186523,8.158154755
