Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.011583292,-3.325185242,4.871918793,7.742798767,9.733621236
0.021645292,-3.315754852,4.982688446,7.922275543,9.928940738
0.031708292,-3.112627258,5.003495178,7.906857605,9.861126185
0.041770292,-2.784359894,4.993166656,7.829618225,9.694704474
0.051833292,-2.273771667,4.920118561,7.764503632,9.469166853
0.061895292,-1.851948853,4.798122253,7.72139328,9.277478423
0.071958292,-1.65211441,4.675078125,7.491471405,8.983762091
0.082020292,-1.665287018,4.583019562,7.243886261,8.732189721
0.092083292,-1.766326904,4.571194153,7.035519562,8.574045849
0.102145292,-1.741927643,4.549638977,6.935377808,8.475434624
0.112208292,-1.632954254,4.526287537,6.85200119,8.372797547
0.122271292,-1.477427673,4.60083252,6.718029785,8.275407941
0.132333292,-1.32923584,4.773722992,6.63435379,8.280697394
0.142396292,-1.162482605,4.814288635,6.520740051,8.188332656
0.152458292,-1.003213806,4.729564819,6.341412964,7.974254805
0.162521292,-0.836460571,4.717290344,6.196663971,7.83269678
0.172583292,-0.689316559,4.513863373,6.130651245,7.644279204
0.182646292,-0.686771851,4.325105896,6.290219421,7.664532403
0.192708292,-0.708327026,4.22990387,6.69752243,7.953025879
0.202771292,-0.445174255,4.12108017,7.102280731,8.223373606
0.212833292,-0.296832733,3.968547363,7.424710236,8.42400142
0.222896292,-0.278570709,3.806135101,7.378306732,8.306845146
0.232958292,-0.29832962,3.625011749,6.90933197,7.808237895
0.243021292,-0.464933167,3.432961121,6.545139313,7.4054192
0.253083292,-0.574954376,3.403173065,6.520141296,7.377289609
0.263146292,-0.695902863,3.440295868,6.622528381,7.495185029
0.273209292,-0.891246643,3.645369415,6.850653992,7.811177816
0.283271292,-1.109043732,4.086502075,7.319778442,8.456277766
0.293334292,-1.348695374,4.625082092,8.094417572,9.419658136
0.303396292,-1.805545349,5.234015808,9.295519867,10.81950115
0.313459292,-2.154918823,5.820496216,11.02487366,12.6518651
0.323521292,-2.030377808,6.232439575,14.54225922,15.9512708
0.333584292,-2.068548431,6.571933594,18.86362289,20.08246679
0.343646292,-2.47001358,6.36760849,23.32165237,24.30117023
0.353709292,-2.598147125,5.521717529,26.25929352,26.95904726
0.363771292,-2.342927856,4.649780731,27.13467316,27.62969886
0.373834292,-2.116897888,4.159250793,25.74825623,26.1677917
0.383896292,-1.914369049,4.199816437,22.86465271,23.32585712
0.393959292,-1.74342453,4.667144623,19.87192612,20.48695233
0.404022292,-1.638792114,5.389243011,17.86130722,18.72847766
0.414084292,-1.444795532,5.924230499,16.72995987,17.80661389
0.424147292,-0.937350769,5.977220306,15.88870926,17.00167259
0.434209292,-0.350570984,5.488786011,14.87516693,15.85939038
0.444272292,-0.120349731,4.723128204,13.70205643,14.49374949
0.454334292,-0.31704071,4.045337677,12.78985336,13.41810794
0.464397292,-0.610430603,3.456013184,12.37461685,12.86265116
0.474459292,-0.897832947,2.99781601,11.96282318,12.36536062
0.484522292,-0.887205048,2.736309814,11.14941467,11.51451135
0.494584292,-0.5533992,2.787203979,10.03797592,10.43243583
0.504647292,-0.167651367,2.984194336,8.681197357,9.181323999
0.514709292,0.26330246,3.154091034,7.047494659,7.72559379
0.524772292,0.571212158,3.481160889,5.518274689,6.549512959
0.534834292,0.834813995,3.912563782,4.129462738,5.749568006
0.544897292,0.925225983,4.08710083,2.986888733,5.146060689
0.554959292,1.108594666,3.659889221,2.190544739,4.407069037
0.565022292,1.296603699,3.351979523,1.751956787,3.99828719
0.575085292,0.754431152,3.365900574,1.409169617,3.726152445
0.585147292,0.210911407,3.128643951,1.112187195,3.327139455
0.595210292,-0.321531372,2.737207947,0.957558746,2.917637489
0.605272292,-0.38260437,2.407593384,0.937350769,2.611803681
0.615335292,-0.357456665,2.109413452,1.029858398,2.374449136
0.625397292,-0.186512146,1.709295502,1.076561279,2.028660169
0.635460292,0.01526825,1.321452026,1.056053925,1.691661452
0.645522292,-0.032033386,1.004261627,0.958157501,1.388392362
0.655585292,-0.091609497,0.688268738,1.029409332,1.241688257
0.665647292,-0.150137787,0.361797638,1.380130005,1.434642017
0.675710292,-0.242795105,0.228724365,1.801503754,1.83212447
0.685772292,-0.314196625,0.302520905,2.374811554,2.414532736
0.695835292,-0.523910522,1.153201904,1.963167572,2.336318425
0.705897292,-0.785566406,2.26059906,1.582808533,2.869269165
0.715960292,-1.037642212,3.124302979,1.215173035,3.509218712
0.726023292,-1.297352142,3.350931702,0.913101196,3.70750855
0.736085292,-1.303339691,3.092119904,0.814306641,3.452969035
0.746148292,-0.948128357,2.476150818,1.015188904,2.839168675
0.756210292,-0.445623322,1.780098267,1.447789307,2.337396813
0.766273292,-0.185015259,1.074765015,2.446213074,2.678303359
0.776335292,-1.53745285,0.438288574,4.272265778,4.561591062
0.786398292,-3.171155548,0.593964844,5.828280029,6.661671701
0.796460292,-3.947441254,1.312171326,7.268435211,8.374618586
0.806523292,-4.631818085,2.476899261,9.134454803,10.53693662
0.816585292,-5.093158722,3.350931702,11.05675735,12.62619865
0.826648292,-5.251679077,3.65539856,12.88745041,14.38848323
0.836710292,-5.612728271,3.898642731,14.91842697,16.40919246
0.846773292,-6.20265152,4.494852905,17.12618591,18.76120552
0.856835292,-6.52088974,5.39178772,18.66723129,20.49533854
0.866898292,-6.890022125,5.923332367,19.60607895,21.60917867
0.876960292,-7.092700653,6.010301514,20.6127356,22.61227533
0.887023292,-6.810687103,5.511838074,21.25115799,22.98646414
0.897086292,-6.164480896,4.401447144,21.5881073,22.87837272
0.907148292,-5.673352203,3.752396851,21.89691513,22.92907106
0.917211292,-5.718707886,4.009262695,21.31851791,22.43339059
0.927273292,-5.658832397,4.032763824,19.48737579,20.68920935
0.937336292,-5.142406311,3.694617004,17.43185028,18.5462649
0.947399083,-4.283941498,3.175496521,15.27543457,16.17945717
0.957462083,-3.493585052,2.522554321,13.23517731,13.91899189
0.967524083,-2.963088226,1.619182892,11.33383118,11.82613099
0.977587083,-2.374811554,1.594334564,9.975106659,10.37710872
0.987649083,-1.578617249,1.607207794,8.522527313,8.815249351
0.997712083,-0.744851074,1.331331482,7.147935791,7.308914605
1.007774083,-0.109572144,0.940643921,6.522985382,6.591369762
1.017837083,0.184416504,0.37916153,6.239624634,6.25385389
1.027899083,0.838855591,-0.280366974,6.223158875,6.285697314
1.037962083,1.706601105,-0.944835205,6.101312256,6.405561032
1.048024083,2.032174072,-1.727557526,6.51624939,7.041000822
1.058087083,1.853745117,-2.092498627,7.094945984,7.625823233
1.068150083,1.124162292,-1.867815857,7.351811829,7.668221052
1.078212083,0.065114594,-1.113684082,6.868766327,6.958770222
1.088275083,-0.710871735,-0.013172607,5.726042633,5.770015284
