Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
-0.001725958,-5.550008698,7.44521759,5.385051727,10.73464688
0.008251042,-5.450615387,7.524103546,5.667813721,10.88326489
0.018227042,-5.417085114,7.841593323,5.529501343,11.01865609
0.028204042,-5.229525146,8.208031311,5.137765961,11.00528738
0.038181042,-4.787344666,8.461903381,5.012326813,10.93827673
0.048158042,-4.508025513,8.18587738,5.184768219,10.68703439
0.058135042,-4.363875275,7.860304413,5.141807556,10.35692898
0.068112042,-4.148922272,7.664212189,4.981490936,10.03837419
0.078088042,-3.911515961,7.51197876,4.832850037,9.75121641
0.088065042,-3.666176147,7.316185913,4.801415405,9.487940438
0.098042042,-3.488495636,7.124135284,4.794080658,9.268555158
0.108019042,-3.282673645,6.888525238,4.829706573,9.030713804
0.117996042,-3.121608582,6.719975739,4.920567627,8.894633204
0.127973041,-2.954555969,6.649472351,5.085374908,8.877269934
0.137949042,-2.76729538,6.616091766,5.068160706,8.781619834
0.147926042,-2.61281662,6.516399078,5.019212494,8.630339605
0.157903042,-2.61281662,6.475384369,5.027295685,8.604133618
0.167880542,-2.591411133,6.471193085,5.14016098,8.661004936
0.177857541,-2.557731171,6.487509155,5.370531921,8.801839404
0.187834542,-2.58242981,6.608158264,5.602848816,9.040387946
0.197810542,-2.64559845,6.762187958,5.827830963,9.310745989
0.207787542,-2.701282654,6.911277924,5.976471863,9.527901471
0.217764542,-2.739902344,7.076983337,5.914051666,9.621162358
0.227741542,-2.75442215,7.248825989,5.877228241,9.730063278
0.237718542,-2.690056,7.401209106,5.918542328,9.851062928
0.247695541,-2.686313782,7.516319733,6.041736145,10.01069027
0.257672542,-2.62568985,7.686515808,6.112089844,10.16535364
0.267648542,-2.428699493,8.026159515,6.187233582,10.42111689
0.277625542,-2.396067352,8.369695129,6.179898834,10.67633293
0.287602542,-2.588567047,8.087082825,6.274801483,10.55815901
0.297579542,-2.513123932,7.818690948,6.514303436,10.48255071
0.307556542,-2.507286072,7.59385849,6.758296051,10.47032644
0.317533541,-2.531086578,7.468119965,6.974596252,10.52730773
0.327509542,-2.401905212,7.408394165,7.186405792,10.59706945
0.337486542,-2.29921875,7.368127899,7.274722137,10.60647433
0.347463542,-2.274819489,7.379055176,7.369026031,10.67369681
0.357440541,-2.217788086,7.492818604,7.409292297,10.7684041
0.367417542,-1.954485626,7.554490356,7.45105545,10.78928014
0.377394542,-1.973346405,7.292235718,7.553741913,10.68315565
0.387370542,-2.195783844,7.030130768,7.566615143,10.55925518
0.397347542,-1.9481987,6.899003448,7.56691452,10.42352734
0.407324542,-1.800605621,6.819967804,7.49910553,10.29517971
0.417301542,-1.837878113,6.738986206,7.421716461,10.19184018
0.427278541,-1.852996674,6.737189941,7.441175995,10.20756705
0.437255542,-1.688189392,7.018904114,7.558981018,10.45242519
0.447231542,-1.647024994,7.182064819,7.632029114,10.60861041
0.457208542,-1.739682312,7.343279572,7.673492889,10.76256208
0.467185542,-1.654060364,7.57859024,7.781418457,10.98732993
0.477162542,-1.569486237,7.736362152,7.948620758,11.20246216
0.487139542,-1.509311371,7.756719818,8.069269867,11.29415067
0.497116541,-1.51410141,7.633526001,8.139773254,11.26140004
0.507092542,-1.573527832,7.424111481,8.22689209,11.1926393
0.517069542,-1.592837677,7.19718338,8.407865753,11.18162721
0.527046542,-1.525926819,6.90933197,8.709638214,11.22163619
0.537023542,-1.536704407,6.624624023,9.072184296,11.3380612
0.547000542,-1.386267242,6.375691681,9.093290405,11.19192171
0.556977542,-1.466799774,6.095923462,8.948242035,10.92624455
0.566953542,-1.45677063,6.178252258,8.891809387,10.92507464
0.576930542,-1.538500671,5.702092438,8.798104248,10.59657873
0.586907542,-1.780397644,5.05124588,8.492739258,10.04049405
0.596884542,-1.597478027,4.614005127,8.108787689,9.465379926
0.606861542,-1.237776031,4.376000061,7.833061066,9.057500301
0.616838542,-0.976120148,4.33872757,7.577093353,8.785767533
0.626814542,-0.712218933,4.413871307,7.319628754,8.577090463
0.636791542,-0.388741608,4.560865631,7.036717072,8.394522171
0.646768542,-0.144150238,4.680616608,6.702462158,8.176304184
0.656745542,0.010927277,4.748724976,6.312972107,7.899628164
0.666722542,0.122445374,4.820425873,5.924230499,7.638586615
0.676699542,0.198038177,4.910089417,5.655539246,7.492217386
0.686675542,0.191451874,5.078489227,5.473517761,7.469076471
0.696652542,0.112116852,5.241200867,5.435945892,7.551970899
0.706629542,-0.026195526,5.377118225,5.555996246,7.731958413
