"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.198041660E-3,3.581302643E0,3.388653259E0,8.505612488E0,9.831283910E0
1.121904165E-2,3.523822174E0,3.398532715E0,8.081544342E0,9.448740989E0
2.124104166E-2,3.293151855E0,3.282074890E0,7.718698883E0,9.010836652E0
3.126204165E-2,3.196752319E0,3.143014069E0,7.681276703E0,8.893805407E0
4.128304165E-2,3.171903992E0,3.007246399E0,8.031248932E0,9.143602421E0
5.130504165E-2,3.097209320E0,2.872227173E0,8.847052460E0,9.803710100E0
6.132604164E-2,3.066822510E0,2.788401489E0,9.666897583E0,1.051805553E1
7.134804165E-2,3.031346283E0,2.708168335E0,9.952653351E0,1.075074624E1
8.136904167E-2,2.835104370E0,2.674188995E0,9.842781830E0,1.058628630E1
9.139004166E-2,2.707120514E0,2.786006470E0,9.962383118E0,1.069296081E1
1.014120417E-1,2.738704834E0,2.849324799E0,1.061577438E1,1.132756910E1
1.114330417E-1,2.831362152E0,2.799777832E0,1.056233551E1,1.128797143E1
1.214540417E-1,2.736309814E0,2.644550629E0,9.476493530E0,1.021200123E1
1.314760417E-1,2.426304474E0,2.223326569E0,8.599167938E0,9.207378762E0
1.414970417E-1,2.660417633E0,2.166444855E0,8.446335754E0,9.116572435E0
1.515180416E-1,3.058439941E0,2.379002838E0,8.291258240E0,9.151976430E0
1.615400416E-1,3.397335205E0,2.383493500E0,7.852370911E0,8.881590887E0
1.715610416E-1,3.795806580E0,1.994602203E0,7.591463470E0,8.718767296E0
1.815820417E-1,3.767066345E0,1.358275452E0,7.456144867E0,8.463438860E0
1.916040417E-1,3.486100616E0,8.663983154E-1,7.908204803E0,8.685807203E0
2.016250417E-1,3.373983765E0,5.779481506E-1,8.629105682E0,9.283278267E0
2.116460417E-1,3.485352173E0,6.245013428E-1,9.107810211E0,9.771892782E0
2.216680417E-1,3.343896332E0,7.571255493E-1,9.525591431E0,1.012382210E1
2.316890417E-1,3.205134888E0,8.611592102E-1,1.046788193E1,1.098139503E1
2.417100416E-1,3.268902283E0,1.081650696E0,1.098266144E1,1.150975858E1
2.517320417E-1,3.552562408E0,1.112187195E0,1.134326157E1,1.193847741E1
2.617530416E-1,3.500620422E0,1.215023346E0,1.088641159E1,1.149976445E1
2.717750416E-1,3.540437622E0,1.303489380E0,1.024289978E1,1.091562087E1
