"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.621541662E-3,-9.286688232E-1,4.157604218E0,9.512269135E0,1.042263703E1
1.364454167E-2,-6.896159363E-1,4.148323517E0,9.214837646E0,1.012903702E1
2.366654167E-2,-5.536985779E-1,3.933520203E0,8.824150085E0,9.677023718E0
3.368954168E-2,-7.090754700E-1,4.273163910E0,8.823102264E0,9.829031050E0
4.371154166E-2,-7.845185852E-1,4.369413757E0,8.777297516E0,9.836066169E0
5.373454167E-2,-8.050259399E-1,4.221970367E0,8.881331177E0,9.866668334E0
6.375654167E-2,-6.123765564E-1,4.110152893E0,8.824150085E0,9.753665290E0
7.377954168E-2,-5.487588501E-1,3.933370514E0,8.624764709E0,9.495214909E0
8.380154168E-2,-5.514532471E-1,3.977977753E0,8.570577393E0,9.464840439E0
9.382454166E-2,-6.521937561E-1,4.085304565E0,8.233029327E0,9.214002496E0
1.038465417E-1,-6.795867920E-1,4.135749664E0,8.268804932E0,9.270350505E0
1.138659167E-1,-6.792874146E-1,4.255201263E0,8.382718048E0,9.425398191E0
1.238879167E-1,-8.340655518E-1,4.424499207E0,8.616681519E0,9.722091286E0
1.339109167E-1,-1.045126648E0,4.403991852E0,8.992998962E0,1.006784308E1
1.439329167E-1,-1.141077118E0,4.423002319E0,9.317973175E0,1.037736145E1
1.539559167E-1,-1.183738403E0,4.486620026E0,9.579629059E0,1.064426084E1
1.639779167E-1,-1.141077118E0,4.457430725E0,9.715247040E0,1.074973352E1
1.740009167E-1,-1.101559296E0,4.341871033E0,9.732161865E0,1.071355457E1
1.840229167E-1,-1.063238983E0,4.323309631E0,9.695937195E0,1.066923996E1
1.940459167E-1,-1.053060150E0,4.279600525E0,9.645342407E0,1.060455310E1
2.040679167E-1,-1.020727386E0,4.178410950E0,9.616751862E0,1.053484309E1
2.140909167E-1,-9.966275024E-1,4.129013672E0,9.591155090E0,1.048962708E1
2.241129167E-1,-9.596543884E-1,3.966302032E0,9.495653687E0,1.033537262E1
2.341359167E-1,-8.628057861E-1,3.855083313E0,9.308991852E0,1.011253828E1
2.441579167E-1,-7.737409973E-1,3.821103973E0,9.188342743E0,9.981240057E0
2.541809167E-1,-7.454498291E-1,3.786974945E0,9.178612976E0,9.957098515E0
2.642029167E-1,-7.349716187E-1,3.760779419E0,9.244625702E0,1.000733478E1
2.742259167E-1,-7.397616577E-1,3.722908173E0,9.400002594E0,1.013742282E1
2.842479167E-1,-7.339237976E-1,3.614683228E0,9.580227814E0,1.026573641E1
2.942709167E-1,-6.945556641E-1,3.613635406E0,9.617500305E0,1.029743077E1
3.042929167E-1,-6.435118103E-1,3.676804047E0,9.527836761E0,1.023292083E1
3.143159167E-1,-5.845344543E-1,3.667673035E0,9.391470337E0,1.009916933E1
3.243379167E-1,-4.953199768E-1,3.622167664E0,9.272318115E0,9.967011773E0
3.343609167E-1,-4.032614136E-1,3.596121826E0,9.198820953E0,9.884989575E0
3.443829167E-1,-3.245251465E-1,3.630400543E0,9.069639587E0,9.774634874E0
3.544059167E-1,-2.276765442E-1,3.685186615E0,8.922046509E0,9.655845427E0
3.644279167E-1,-1.600172424E-1,3.685785370E0,8.805888062E0,9.547475261E0
3.744509167E-1,-1.106199646E-1,3.692820740E0,8.710236969E0,9.461363002E0
3.844729167E-1,-1.169068909E-1,3.759132843E0,8.669072571E0,9.449738948E0
3.944959167E-1,-1.695973206E-1,3.929328918E0,8.660989380E0,9.512156750E0
4.045179167E-1,-1.438508606E-1,4.045637054E0,8.539591827E0,9.450529129E0
4.145409167E-1,-1.251397705E-1,4.098327484E0,8.209528198E0,9.176508125E0
4.245629167E-1,-2.257305908E-1,3.953877869E0,7.905660095E0,8.842147140E0
4.345859167E-1,-3.013233948E-1,3.474275208E0,7.837252350E0,8.578106341E0
4.446079167E-1,-2.360591125E-1,3.120411072E0,7.729775848E0,8.339192037E0
4.546309167E-1,-1.944456482E-1,3.007994843E0,7.632328491E0,8.205990512E0
4.646529167E-1,-2.323168945E-1,3.175047455E0,7.600295105E0,8.240108201E0
4.746759167E-1,-3.370989990E-1,3.369493103E0,7.578590240E0,8.300731868E0
4.846979167E-1,-4.547543335E-1,3.482059021E0,7.639663239E0,8.408090802E0
4.947209167E-1,-5.616320801E-1,3.569926300E0,7.762707367E0,8.562676570E0
5.047429167E-1,-6.023474121E-1,3.563789062E0,7.916437683E0,8.702493923E0
5.147659167E-1,-4.977149963E-1,3.682043152E0,8.073461151E0,8.887403274E0
5.247879167E-1,-3.909869385E-1,3.807931366E0,8.192912750E0,9.043065377E0
5.348109167E-1,-4.176315308E-1,3.765868835E0,8.404422913E0,9.219029704E0
5.448329167E-1,-4.989125061E-1,3.694766693E0,8.732690277E0,9.495266930E0
5.548559167E-1,-5.382806396E-1,3.749253387E0,8.920250244E0,9.691104758E0
5.648779167E-1,-5.081932068E-1,3.788471832E0,8.990603943E0,9.769428766E0
