"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.453541660E-3,-1.033750305E0,3.880979462E0,8.842561798E0,9.711927740E0
1.647454166E-2,-7.613168335E-1,3.850442963E0,8.777297516E0,9.614908529E0
2.649654166E-2,-4.761598206E-1,3.869154053E0,8.531508636E0,9.379963799E0
3.651854166E-2,-4.788542175E-1,3.874692535E0,8.459208984E0,9.316692559E0
4.653954165E-2,-6.165678406E-1,3.641178131E0,8.570876770E0,9.332645000E0
5.656154166E-2,-5.545967102E-1,3.480711823E0,8.819958801E0,9.498136952E0
6.658254165E-2,-4.376898193E-1,3.568130035E0,9.092991028E0,9.777812136E0
7.660454165E-2,-4.167333984E-1,3.534150696E0,9.194629669E0,9.859264811E0
8.662554165E-2,-4.695735168E-1,3.413351898E0,9.346114655E0,9.960990393E0
9.664754165E-2,-6.265969849E-1,3.520978088E0,9.485474854E0,1.013726510E1
1.066685416E-1,-8.777746582E-1,3.848497009E0,9.561516724E0,1.034427473E1
1.166905416E-1,-1.265019379E0,4.278552704E0,9.563911743E0,1.055342101E1
1.267125416E-1,-1.492246857E0,4.670886841E0,9.595945129E0,1.077618427E1
1.367335416E-1,-1.541195068E0,4.760251007E0,9.607171783E0,1.083203682E1
1.467555416E-1,-1.409618683E0,4.581522675E0,9.639953613E0,1.076596863E1
1.567765416E-1,-1.262324982E0,4.272265778E0,9.624835052E0,1.060580827E1
1.667985416E-1,-1.150357819E0,4.019142151E0,9.521849213E0,1.039915569E1
1.768195417E-1,-1.071471863E0,3.974684601E0,9.360634460E0,1.022583234E1
1.868415416E-1,-1.031804352E0,3.973487091E0,9.201215973E0,1.007549479E1
1.968625417E-1,-9.970765686E-1,3.966302032E0,9.074729004E0,9.953713879E0
2.068845417E-1,-9.559121704E-1,3.963757324E0,8.980125732E0,9.862443834E0
2.169065417E-1,-8.689430237E-1,3.936813354E0,8.913214874E0,9.782584564E0
2.269275417E-1,-7.587721252E-1,3.994443512E0,8.790470123E0,9.685229945E0
2.369495417E-1,-7.047344971E-1,4.048481140E0,8.687933350E0,9.610777083E0
2.469705417E-1,-6.638694763E-1,4.062701569E0,8.680598602E0,9.607239916E0
2.569925417E-1,-6.158193970E-1,4.077670441E0,8.621920624E0,9.557413091E0
2.670135417E-1,-5.900729370E-1,4.040697327E0,8.557554474E0,9.481938596E0
2.770355417E-1,-5.369334412E-1,4.002377014E0,8.569828949E0,9.473610056E0
2.870565417E-1,-4.869374084E-1,3.954925690E0,8.681496735E0,9.552325937E0
2.970785417E-1,-4.381388855E-1,3.919000397E0,8.804540863E0,9.647303748E0
3.071005417E-1,-3.203338623E-1,3.911066895E0,8.854985962E0,9.685547709E0
3.171215417E-1,-2.145039368E-1,3.959416351E0,8.847800903E0,9.695698562E0
3.271435417E-1,-1.306782532E-1,3.964356079E0,8.711883545E0,9.572361821E0
3.371645416E-1,-1.646575928E-2,3.951033783E0,8.485254822E0,9.360047461E0
3.471865417E-1,1.133143616E-1,3.971541138E0,8.292455750E0,9.195150978E0
3.572075416E-1,1.749861145E-1,3.989054718E0,8.117769012E0,9.046620995E0
3.672295416E-1,2.321672058E-1,4.012705536E0,8.029602356E0,8.979433241E0
3.772505416E-1,3.141966248E-1,4.099375305E0,8.029302979E0,9.020715256E0
3.872725416E-1,3.625460815E-1,4.156257019E0,8.095465393E0,9.107275773E0
