"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.866041683E-3,3.877386932E0,2.900218964E0,1.218556000E1,1.311233282E1
1.188704168E-2,3.788471832E0,2.067799988E0,1.222777222E1,1.296714036E1
2.190904168E-2,3.768114166E0,1.548978882E0,1.174352921E1,1.243014474E1
3.193004167E-2,3.785927124E0,1.436562653E0,1.068957092E1,1.143083037E1
4.195204168E-2,3.727847900E0,1.737137604E0,9.718989258E0,1.055335251E1
5.197304167E-2,3.487447815E0,2.262994080E0,9.026229858E0,9.937618423E0
6.199504167E-2,3.147804108E0,2.747386780E0,8.722212067E0,9.671286789E0
7.201604167E-2,2.741399231E0,3.080444183E0,8.634494476E0,9.568641543E0
8.204137502E-2,2.307751007E0,3.205134888E0,8.474776611E0,9.349889998E0
9.206237501E-2,1.910028076E0,3.180136871E0,8.432863770E0,9.212744929E0
1.020843750E-1,1.607507172E0,3.014730835E0,8.451125793E0,9.115602475E0
1.121053750E-1,1.632654877E0,2.720891876E0,8.768166504E0,9.324674707E0
1.221273750E-1,1.654210052E0,2.554887085E0,9.027127991E0,9.526431581E0
1.321493750E-1,1.582658844E0,2.526745605E0,9.000483398E0,9.481453147E0
1.421703750E-1,1.704206085E0,2.372715912E0,9.188043365E0,9.641277927E0
1.521923750E-1,1.614093475E0,2.165097656E0,9.667047272E0,1.003716835E1
1.622133750E-1,1.686991882E0,2.220033417E0,9.139544220E0,9.555404676E0
1.722353750E-1,2.014361115E0,1.996248779E0,9.112001495E0,9.543124810E0
1.822563750E-1,2.620450745E0,1.750759277E0,8.884175262E0,9.426584230E0
1.922783750E-1,3.289559326E0,1.340312805E0,9.068591766E0,9.739455611E0
2.022993750E-1,3.225492554E0,1.006806335E0,9.309740295E0,9.903975241E0
2.123213750E-1,2.760260010E0,9.144483948E-1,9.450298004E0,9.887536779E0
2.223423750E-1,2.787952423E0,8.641529846E-1,1.055799454E1,1.095402610E1
2.323643750E-1,2.927761688E0,8.086184692E-1,1.098834961E1,1.140041576E1
2.423853750E-1,3.113525391E0,6.780899048E-1,1.084569626E1,1.130411313E1
2.524073750E-1,3.105591888E0,5.177732849E-1,1.087563400E1,1.132219966E1
2.624283750E-1,3.056643677E0,5.721102905E-1,1.064271835E1,1.108773352E1
2.724503750E-1,3.123554535E0,8.708889771E-1,1.006581802E1,1.057524151E1
2.824713750E-1,3.158432007E0,1.003513184E0,9.568701782E0,1.012634116E1
2.924933750E-1,3.080444183E0,1.058598633E0,9.201066284E0,9.760603885E0
3.025143750E-1,2.796634369E0,1.143023071E0,8.592282257E0,9.107962446E0
3.125363750E-1,2.666854248E0,1.271605682E0,8.519533539E0,9.017291407E0
3.225573750E-1,2.729573822E0,1.301393738E0,8.971144409E0,9.467081436E0
3.325793750E-1,3.037932587E0,1.312919769E0,1.010907806E1,1.063702270E1
3.426003750E-1,3.171754303E0,9.482780457E-1,1.146286285E1,1.193132354E1
3.526223750E-1,2.720592499E0,-6.316864014E-2,1.182391205E1,1.213303383E1
3.626433750E-1,1.377884674E0,-1.887425079E0,1.131721573E1,1.155596432E1
3.726653750E-1,7.289840698E-2,-3.427272949E0,1.119222565E1,1.170544442E1
3.826873750E-1,5.179229736E-2,-3.902684326E0,1.075258987E1,1.143904788E1
3.927083750E-1,-2.035766602E-2,-3.655847626E0,9.717043304E0,1.038203096E1
4.027303750E-1,-1.848655701E-1,-2.701582031E0,8.808582458E0,9.215413484E0
4.127513750E-1,-2.221380615E-1,-1.842219086E0,8.277935944E0,8.483356645E0
4.227733750E-1,-6.249504089E-1,-1.923799438E0,7.380252686E0,7.652430790E0
4.327943750E-1,-1.041085052E0,-1.779200134E0,5.497617645E0,5.871389186E0
4.428163750E-1,-1.430275726E0,-6.481521606E-1,7.896978149E0,8.051587034E0
4.528373750E-1,-1.877695312E0,-8.062234497E-1,9.127419434E0,9.353369524E0
4.628593750E-1,-1.240470428E0,-1.412313080E0,9.670490112E0,9.851485884E0
4.728803750E-1,-2.356100464E-1,-1.686991882E0,9.865983582E0,1.001194715E1
4.829023750E-1,6.741979980E-1,-1.649569702E0,9.713750153E0,9.875857693E0
4.929233750E-1,1.370250549E0,-2.086810455E0,9.392967224E0,9.719063624E0
5.029453750E-1,1.960323486E0,-3.274740143E0,9.277557220E0,1.003194194E1
5.129663750E-1,2.152972870E0,-4.116290131E0,9.493108978E0,1.056873950E1
5.229883750E-1,2.752775574E0,-3.554059296E0,9.357191620E0,1.038104743E1
5.330093750E-1,3.929478607E0,-2.582429810E0,8.728199615E0,9.914192573E0
5.430313750E-1,5.124443665E0,-3.088976440E0,9.093440094E0,1.088541920E1
5.530523750E-1,6.334078217E0,-4.073628845E0,9.841135254E0,1.239205156E1
5.630743750E-1,8.437354431E0,-5.036277008E0,9.605076141E0,1.374083417E1
5.730953750E-1,9.771380310E0,-5.805826721E0,9.376351776E0,1.473443143E1
5.831173750E-1,9.480834503E0,-4.955894165E0,9.948611755E0,1.460896936E1
5.931383750E-1,1.002839584E1,-4.029470673E0,1.040755737E1,1.500408636E1
6.031603750E-1,9.532028046E0,-2.249222717E0,1.061622345E1,1.444377935E1
6.131813750E-1,8.580756226E0,-7.095245361E-2,1.049273026E1,1.355477037E1
6.232033750E-1,7.820786591E0,1.717378693E0,1.061562469E1,1.329682594E1
6.332253750E-1,7.065606995E0,3.248394928E0,1.112232101E1,1.357132626E1
6.432463750E-1,6.889273682E0,3.899840240E0,1.078731766E1,1.338047338E1
6.532683750E-1,5.553900604E0,4.253255310E0,1.006536896E1,1.225755461E1
6.632893750E-1,4.886887665E0,4.268822937E0,9.674980774E0,1.164945378E1
6.733113750E-1,4.303999786E0,4.397555237E0,9.305399323E0,1.115586674E1
6.833323750E-1,3.050805817E0,5.159770203E0,1.028735733E1,1.190631620E1
6.933543750E-1,2.408940582E0,5.267695770E0,1.057221497E1,1.205501318E1
7.033753750E-1,1.491199036E0,5.289101257E0,1.031894165E1,1.169097188E1
7.133973750E-1,8.945397949E-1,4.575684814E0,9.594298553E0,1.066712978E1
7.234183750E-1,6.182144165E-1,3.578757935E0,8.138725433E0,8.912269582E0
7.334403750E-1,9.635462952E-1,2.653382263E0,6.836732941E0,7.396605722E0
7.434613750E-1,1.376986542E0,1.489402771E0,6.806495819E0,7.102309335E0
7.534833750E-1,1.294508057E0,9.865983582E-1,7.581284637E0,7.754031479E0
7.635043750E-1,1.764979706E0,1.212778015E0,7.707322540E0,7.999300258E0
7.735263750E-1,2.708617401E0,1.013542328E0,7.190148010E0,7.749974496E0
7.835473750E-1,3.909420319E0,8.949888611E-1,5.895939331E0,7.130685303E0
7.935693750E-1,5.057383118E0,1.501677246E0,4.166884918E0,6.722729243E0
8.035903750E-1,6.000122681E0,1.423988800E0,3.181783447E0,6.939233545E0
8.136123750E-1,6.971752167E0,1.234931946E-1,2.904110870E0,7.553438872E0
8.236333750E-1,8.379574585E0,-1.877096558E0,2.791544952E0,9.029589411E0
8.336553750E-1,9.246721344E0,-1.375789032E0,2.373464355E0,9.645101561E0
8.436763750E-1,9.777816925E0,-7.283853149E-1,2.615960083E0,1.014788136E1
8.536983750E-1,1.004590942E1,9.833052063E-1,3.464994507E0,1.067208378E1
8.637193750E-1,1.051099228E1,2.553090820E0,2.928510132E0,1.120604315E1
8.737413750E-1,1.076007431E1,3.775299225E0,2.093696136E0,1.159377621E1
8.837623750E-1,1.157423126E1,6.055806885E0,2.907404022E0,1.338239980E1
8.937843750E-1,1.133787277E1,7.335495758E0,4.866529999E0,1.435409249E1
9.038063750E-1,1.145807281E1,6.300697632E0,5.726042633E0,1.427493564E1
9.138273750E-1,1.228330673E1,5.097948761E0,4.144281921E0,1.392995974E1
9.238493750E-1,1.132335297E1,5.926026764E0,2.878514099E-1,1.278354309E1
9.338703750E-1,1.059017761E1,-1.413809967E0,4.186793518E0,1.147518891E1
9.438923750E-1,1.161120438E1,-4.851860504E0,4.470603333E0,1.335465880E1
9.539133750E-1,1.142828476E1,-7.132218475E0,4.112398224E0,1.408495836E1
9.639353750E-1,1.155971146E1,-8.689430237E0,2.204316101E0,1.462847006E1
9.739563750E-1,1.232057922E1,-8.922495575E0,1.208137665E0,1.525998677E1
9.839783750E-1,1.269899231E1,-8.329428864E0,1.758543091E0,1.528843565E1
9.939993750E-1,1.133218460E1,-1.124611359E1,5.868695984E0,1.700985218E1
1.004021375E0,1.158381134E1,-1.192210785E1,7.879614258E0,1.839591426E1
1.014042375E0,8.249794464E0,-1.203991287E1,9.373507690E0,1.734592912E1
1.024064375E0,7.371870117E0,-1.191582092E1,6.836732941E0,1.559077210E1
1.034085375E0,8.967402191E0,-9.981393585E0,-1.286424866E0,1.347951813E1
1.044107375E0,8.346194000E0,-6.867419128E0,-1.476828918E0,1.090877736E1
1.054128375E0,7.473658447E0,-5.199587402E0,1.187779999E0,9.181617563E0
1.064150375E0,5.985902252E0,-5.377118225E0,1.854942627E0,8.257435336E0
1.074171375E0,7.226222992E0,-4.791835327E0,-1.157243500E0,8.747525196E0
1.084190292E0,8.541088715E0,-5.313201141E0,-2.831811218E0,1.044985443E1
1.094211292E0,9.083111572E0,-5.748196564E0,-3.458557892E0,1.129186886E1
1.104233292E0,8.074808350E0,-6.038892059E0,-1.241967316E0,1.015939122E1
1.114254292E0,7.924969940E0,-5.606890411E0,-5.665718079E-1,9.724370018E0
1.124276292E0,8.127199402E0,-4.897964630E0,-1.447190552E0,9.598738882E0
1.134297292E0,7.033423920E0,-5.862259369E0,-9.395960999E-1,9.204236947E0
1.144319292E0,6.840026093E0,-6.925797729E0,-2.280956726E0,9.997769487E0
1.154340292E0,7.650440826E0,-7.557484131E0,-4.678371277E0,1.172740248E1
1.164362292E0,4.551884308E0,-6.720275116E0,-3.521576843E0,8.847782313E0
1.174383292E0,3.978875885E0,-7.209158478E0,-3.105142822E0,8.800302905E0
1.184405292E0,2.943928070E0,-8.859776001E0,-1.988015900E0,9.545394203E0
1.194427292E0,2.066153412E0,-1.060394897E1,-5.575904846E-1,1.081774611E1
1.204448292E0,8.999285889E-1,-1.142918289E1,5.763015747E-2,1.146470297E1
1.214470292E0,-8.312214661E-1,-1.237880814E1,8.126600647E-1,1.243327135E1
1.224491292E0,-1.977537689E0,-1.334998856E1,2.205064545E0,1.367461734E1
1.234513292E0,-2.247576141E0,-1.379306717E1,2.678979034E0,1.422944936E1
1.244534292E0,-2.063309326E0,-1.376208160E1,3.715124359E0,1.440327339E1
1.254556292E0,-1.722168732E0,-1.302396652E1,6.574927368E0,1.469078756E1
1.264577292E0,-7.027885437E-1,-1.210278214E1,9.817783813E0,1.560000404E1
1.274599292E0,1.265019379E0,-9.664502563E0,1.125958557E1,1.489231853E1
1.284620292E0,2.578687592E0,-7.520660706E0,1.735281464E1,1.908743416E1
1.294642292E0,4.514611816E0,-5.392835541E0,2.187101898E1,2.297402591E1
1.304663292E0,5.461542664E0,-3.116519165E0,2.394884811E1,2.476062330E1
1.314685292E0,6.364465027E0,-7.722441101E-1,2.330219284E1,2.416805675E1
1.324706292E0,8.202043762E0,2.000140686E0,1.916853882E1,2.094533278E1
1.334728292E0,8.365803223E0,3.290906525E0,1.649599640E1,1.878655441E1
1.344749292E0,7.546856232E0,2.482737122E0,1.513158371E1,1.709046074E1
1.354771292E0,7.317084045E0,1.931283875E0,1.261322067E1,1.470927979E1
1.364792292E0,6.977440338E0,5.679190063E-1,1.079540085E1,1.286654130E1
1.374814292E0,6.061345367E0,-1.845661926E-1,9.683363342E0,1.142547583E1
1.384835292E0,5.387746124E0,-9.113049316E-1,8.556955719E0,1.015282109E1
1.394857292E0,5.123994598E0,-8.554710388E-1,7.744145966E0,9.325178179E0
1.404878292E0,5.352120209E0,-3.124003601E-1,7.983947296E0,9.616974532E0
1.414900292E0,4.592749329E0,-3.400927734E-1,1.043854294E1,1.140930270E1
1.424921292E0,4.470453644E0,-1.225351868E0,1.149175278E1,1.239140125E1
1.434943292E0,4.499493256E0,-3.574566650E-1,1.328592178E1,1.403171167E1
